view_a,track_id_a,view_b,track_id_b,cosine_similarity,time_gap
view1,1,view2,2,0.9999,0.0
view1,1,view2,18,0.9999,0.0
view1,1,view2,21,0.9999,0.0
view1,1,view2,26,0.9999,0.0
view1,1,view2,27,0.9999,0.0
view1,1,view2,30,0.9999,0.0
view1,1,view2,31,0.9999,0.0
view1,1,view2,33,0.9999,0.0
view1,1,view2,36,0.9999,0.0
view1,1,view2,39,0.9999,0.0
view1,1,view2,41,0.9999,0.0
view1,1,view2,49,0.9999,0.0
view1,1,view2,51,0.9999,0.0
view1,1,view2,62,0.9999,4.68
view1,1,view2,63,0.9999,5.64
view1,1,view2,70,0.9999,8.24
view1,1,view2,71,0.9999,9.0
view1,1,view2,73,0.9999,11.12
view1,1,view2,75,0.9999,12.52
view1,1,view2,76,0.9999,13.72
view1,1,view2,87,0.9999,15.4
view1,1,view2,90,0.9999,16.84
view1,1,view2,91,0.9999,17.28
view1,1,view2,92,0.9999,17.32
view1,1,view2,102,0.9999,22.52
view1,1,view2,116,0.9999,26.48
view1,1,view2,117,0.9999,28.08
view1,1,view2,128,0.9999,31.88
view1,1,view2,143,0.9999,33.68
view1,1,view2,145,0.9999,34.6
view1,1,view2,150,0.9999,34.88
view1,1,view2,151,0.9999,34.96
view1,1,view2,153,0.9999,35.48
view1,1,view2,154,0.9999,35.6
view1,1,view2,155,0.9999,35.92
view1,1,view2,161,0.9999,39.52
view1,1,view2,170,0.9999,44.0
view1,1,view2,176,0.9999,44.6
view1,1,view2,185,0.9999,48.84
view1,1,view2,187,0.9999,49.8
view1,1,view2,194,0.9999,52.48
view1,1,view2,199,0.9999,54.56
view1,1,view2,200,0.9999,54.84
view1,1,view2,202,0.9999,56.24
view1,1,view2,204,0.9999,56.44
view1,1,view2,219,0.9999,59.4
view1,1,view2,223,0.9999,60.44
view1,1,view2,230,0.9999,62.32
view1,1,view2,238,0.9999,63.84
view1,1,view2,247,0.9999,65.68
view1,1,view2,253,0.9999,68.04
view1,1,view2,257,0.9999,69.52
view1,1,view2,262,0.9999,72.12
view1,1,view2,275,0.9999,76.2
view1,1,view2,281,0.9999,77.36
view1,1,view2,286,0.9999,79.64
view1,1,view2,288,0.9999,79.8
view1,1,view2,296,0.9999,83.28
view1,1,view2,299,0.9999,84.32
view1,1,view2,311,0.9999,87.68
view1,1,view2,316,0.9999,91.2
view1,1,view2,324,0.9999,94.2
view1,1,view2,327,0.9999,95.04
view1,1,view2,340,0.9999,98.28
view1,1,view2,347,0.9999,99.96
view1,1,view2,349,0.9999,101.36
view1,1,view2,354,0.9999,102.92
view1,1,view2,355,0.9999,103.32
view1,1,view2,357,0.9999,103.92
view1,1,view2,361,0.9999,104.64
view1,1,view2,365,0.9999,106.64
view1,1,view2,375,0.9999,108.28
view1,1,view2,376,0.9999,108.48
view1,1,view2,379,0.9999,108.88
view1,1,view2,389,0.9999,113.72
view1,1,view2,390,0.9999,114.12
view1,1,view2,391,0.9999,114.48
view1,1,view2,395,0.9999,116.24
view1,1,view2,397,0.9999,118.84
view1,1,view2,400,0.9999,119.68
view1,1,view2,401,0.9999,119.76
view1,1,view3,2,1.0,0.0
view1,1,view3,5,1.0,0.0
view1,1,view3,6,1.0,0.0
view1,1,view3,15,1.0,0.0
view1,1,view3,16,1.0,0.0
view1,1,view3,24,1.0,0.0
view1,1,view3,28,1.0,0.0
view1,1,view3,29,1.0,0.68
view1,1,view3,33,1.0,4.36
view1,1,view3,34,1.0,4.44
view1,1,view3,37,1.0,8.6
view1,1,view3,39,1.0,10.44
view1,1,view3,44,1.0,13.6
view1,1,view3,49,1.0,14.72
view1,1,view3,53,1.0,16.76
view1,1,view3,62,1.0,20.16
view1,1,view3,66,1.0,21.52
view1,1,view3,70,1.0,23.8
view1,1,view3,71,1.0,23.92
view1,1,view3,73,1.0,24.16
view1,1,view3,77,1.0,27.8
view1,1,view3,79,1.0,29.0
view1,1,view3,81,1.0,30.32
view1,1,view3,82,1.0,31.2
view1,1,view3,88,1.0,33.96
view1,1,view3,90,1.0,35.56
view1,1,view3,94,1.0,36.56
view1,1,view3,96,1.0,38.64
view1,1,view3,99,1.0,39.4
view1,1,view3,100,1.0,39.76
view1,1,view3,106,1.0,42.6
view1,1,view3,108,1.0,43.48
view1,1,view3,109,1.0,44.48
view1,1,view3,113,1.0,45.96
view1,1,view3,119,1.0,46.32
view1,1,view3,121,1.0,47.16
view1,1,view3,124,1.0,48.28
view1,1,view3,128,1.0,50.56
view1,1,view3,129,1.0,50.84
view1,1,view3,131,1.0,53.28
view1,1,view3,136,1.0,54.72
view1,1,view3,144,1.0,57.48
view1,1,view3,150,1.0,60.24
view1,1,view3,153,1.0,62.6
view1,1,view3,154,1.0,63.52
view1,1,view3,157,1.0,65.72
view1,1,view3,163,1.0,68.08
view1,1,view3,165,1.0,68.16
view1,1,view3,169,1.0,68.68
view1,1,view3,181,1.0,71.32
view1,1,view3,186,1.0,74.6
view1,1,view3,188,1.0,75.44
view1,1,view3,195,1.0,76.6
view1,1,view3,202,1.0,78.92
view1,1,view3,203,1.0,78.96
view1,1,view3,205,1.0,79.36
view1,1,view3,206,1.0,80.64
view1,1,view3,209,1.0,81.48
view1,1,view3,212,1.0,81.88
view1,1,view3,214,1.0,83.24
view1,1,view3,215,1.0,85.44
view1,1,view3,216,1.0,85.56
view1,1,view3,217,1.0,85.8
view1,1,view3,223,1.0,88.12
view1,1,view3,225,1.0,88.76
view1,1,view3,227,1.0,89.56
view1,1,view3,230,1.0,90.44
view1,1,view3,231,1.0,90.52
view1,1,view3,233,1.0,93.68
view1,1,view3,236,1.0,95.64
view1,1,view3,240,1.0,97.8
view1,1,view3,243,1.0,98.88
view1,1,view3,244,1.0,99.96
view1,1,view3,252,1.0,104.48
view1,1,view3,256,1.0,106.24
view1,1,view3,260,1.0,108.4
view1,1,view3,266,1.0,112.52
view1,1,view3,267,1.0,112.6
view1,1,view3,269,1.0,113.16
view1,1,view3,272,1.0,114.76
view1,1,view3,280,1.0,119.28
view1,1,view3,282,1.0,120.12
view1,2,view2,2,0.9999,0.0
view1,2,view2,18,0.9999,0.0
view1,2,view2,21,0.9999,0.0
view1,2,view2,26,1.0,0.0
view1,2,view2,27,0.9999,0.0
view1,2,view2,30,1.0,0.0
view1,2,view2,31,0.9999,0.0
view1,2,view2,33,0.9999,0.0
view1,2,view2,36,0.9999,0.0
view1,2,view2,39,0.9999,0.0
view1,2,view2,41,0.9999,0.0
view1,2,view2,49,0.9999,0.0
view1,2,view2,51,0.9999,0.0
view1,2,view2,62,0.9999,0.0
view1,2,view2,63,0.9999,0.0
view1,2,view2,70,0.9999,0.0
view1,2,view2,71,0.9999,0.0
view1,2,view2,73,0.9999,1.56
view1,2,view2,75,0.9999,2.96
view1,2,view2,76,0.9999,4.16
view1,2,view2,87,0.9999,5.84
view1,2,view2,90,0.9999,7.28
view1,2,view2,91,0.9999,7.72
view1,2,view2,92,0.9999,7.76
view1,2,view2,102,0.9999,12.96
view1,2,view2,116,0.9999,16.92
view1,2,view2,117,0.9999,18.52
